//  __  __  ____  _  _     ____  _  _
// (  )(  )(    \( \/ )___(  __)( \/ )
//  )(  )(  ) D ( )  ((___)) _)  )  (
// (__)(__)(____/(_/\_)   (__)  (_/\_)
//
// official chart list version 1.1
//
//
22044,2,192,2:03,9,-1,-1,972
22044,3,192,2:03,11,-1,-1,1491
22063,1,170,2:02,6,0,0,609
22063,2,170,2:02,9,-1,-1,1082
22063,3,170,2:02,11,-1,-1,1286
22076,1,150,2:02,5,0,0,463
22076,2,150,2:02,7,0,0,644
22076,3,150,2:02,10,-1,-1,999
22100,1,150-160,2:03,5,0,0,524
22100,2,150-160,2:03,8,-1,-1,820
22100,3,150-160,2:03,11,-1,-1,1314
22078,1,143,2:05,4,0,0,392
22078,2,143,2:05,8,7,9,778
22078,3,143,2:05,10,11,10,1170
22003,1,282,1:51,6,0,0,517
22003,2,282,1:51,9,-1,-1,863
22003,3,282,1:51,12,-1,-1,1656
22034,1,149,2:06,6,0,0,642
22034,2,149,2:06,9,-1,-1,1054
22034,3,149,2:06,11,-1,-1,1503
22007,1,150,1:59,5,0,0,402
22007,2,150,1:59,9,-1,-1,822
22007,3,150,1:59,12,-1,-1,1574
22096,1,144,2:57,6,0,0,482
22096,2,144,2:57,9,-1,-1,860
22096,3,144,2:57,11,-1,-1,1323
22060,1,187,1:45,6,0,0,520
22060,2,187,1:45,8,-1,-1,710
22060,3,187,1:45,11,-1,-1,1190
22046,1,164,2:06,4,0,0,432
22046,2,164,2:06,7,0,0,731
22046,3,164,2:06,10,-1,-1,1031
22005,1,135,2:00,6,0,0,610
22005,2,135,2:00,9,-1,-1,952
22005,3,135,2:00,12,-1,-1,1677
22086,1,180,1:51,6,0,0,542
22086,2,180,1:51,9,-1,-1,998
22086,3,180,1:51,11,-1,-1,1389
22058,1,165,2:00,5,0,0,435
22058,2,165,2:00,8,-1,-1,871
22058,3,165,2:00,11,-1,-1,1475
22004,1,160,2:07,6,0,0,486
22004,2,160,2:07,10,-1,-1,1181
22004,3,160,2:07,12,-1,-1,1983
22050,1,147,1:55,4,0,0,449
22050,2,147,1:55,8,2,2,843
22050,3,147,1:55,10,-1,-1,1281
22091,1,175,1:53,6,0,0,640
22091,2,175,1:53,10,-1,-1,1080
22091,3,175,1:53,12,-1,-1,1513
22055,1,172,1:45,6,0,0,552
22055,2,172,1:45,9,-1,-1,900
22055,3,172,1:45,12,-1,-1,1501
22020,1,180,1:56,4,0,0,458
22020,2,180,1:56,7,0,0,695
22020,3,180,1:56,10,-1,-1,1059
22042,1,150,2:10,4,0,0,338
22042,2,150,2:10,7,0,0,689
22042,3,150,2:10,10,-1,-1,1020
22017,1,163,2:00,6,0,0,586
22017,2,163,2:00,10,-1,-1,1082
22017,3,163,2:00,12,-1,-1,1659
22056,1,160,2:02,5,0,0,579
22056,2,160,2:02,8,-1,-1,849
22056,3,160,2:02,10,-1,-1,1180
22069,1,200-264,1:42,5,0,0,414
22069,2,200-264,1:42,9,-1,-1,762
22069,3,200-264,1:42,12,-1,-1,1505
22079,1,165,2:07,6,0,0,653
22079,2,165,2:07,9,-1,-1,1096
22079,3,165,2:07,12,-1,-1,1752
22074,1,197,2:07,7,0,0,831
22074,2,197,2:07,10,-1,-1,1245
22074,3,197,2:07,12,-1,-1,1933
22057,1,205,1:55,5,0,0,527
22057,2,205,1:55,9,-1,-1,1030
22057,3,205,1:55,11,-1,-1,1518
22080,1,185,1:59,6,0,0,600
22080,2,185,1:59,10,-1,-1,1187
22080,3,185,1:59,12,-1,-1,1896
22035,1,172,2:04,5,0,0,477
22035,2,172,2:04,8,-1,-1,907
22035,3,172,2:04,11,8,8,1485
22077,1,154,1:52,6,0,0,667
22077,2,154,1:52,10,2,2,1042
22077,3,154,1:52,12,2,2,1541
22040,1,170,2:09,6,0,0,611
22040,2,170,2:09,9,-1,-1,1028
22040,3,170,2:09,11,-1,-1,1479
22084,1,85,2:06,5,0,0,489
22084,2,85,2:06,9,-1,-1,803
22084,3,85,2:06,10,-1,-1,1103
22059,1,179,1:55,4,0,0,323
22059,2,179,1:55,7,0,0,651
22059,3,179,1:55,10,-1,-1,1143
22038,1,181,1:44,6,0,0,544
22038,2,181,1:44,9,-1,-1,929
22038,3,181,1:44,12,-1,-1,1445
22062,1,156,1:44,5,0,0,419
22062,2,156,1:44,8,-1,-1,701
22062,3,156,1:44,11,-1,-1,1342
22097,1,165,2:01,7,0,0,675
22097,2,165,2:01,10,-1,-1,1093
22097,3,165,2:01,12,-1,-1,1804
22023,1,110-144,1:57,4,0,0,381
22023,2,110-144,1:57,8,-1,-1,867
22023,3,110-144,1:57,10,-1,-1,1205
22094,1,180,2:05,5,0,0,531
22094,2,180,2:05,8,-1,-1,907
22094,3,180,2:05,11,-1,-1,1477
22072,1,215,1:40,5,0,0,443
22072,2,215,1:40,8,6,8,766
22072,3,215,1:40,10,-1,-1,1040
22082,1,170,1:56,6,0,0,570
22082,2,170,1:56,8,-1,-1,846
22082,3,170,1:56,11,-1,-1,1142
22009,1,165,2:05,6,0,0,580
22009,2,165,2:05,10,-1,-1,1127
22009,3,165,2:05,12,-1,-1,1815
22037,1,160,2:02,5,0,0,521
22037,2,160,2:02,7,0,0,823
22037,3,160,2:02,10,-1,-1,1132
22047,1,234,1:58,6,0,0,571
22047,2,234,1:58,9,-1,-1,983
22047,3,234,1:58,11,-1,-1,1395
22031,1,150,2:00,6,0,0,531
22031,2,150,2:00,9,-1,-1,1028
22031,3,150,2:00,11,-1,-1,1350
22105,6,150,2:00,12,-1,-1,2110
22012,1,190,2:06,7,0,0,669
22012,2,190,2:06,10,-1,-1,1296
22012,3,190,2:06,12,-1,-1,2000
22032,1,200,1:49,6,0,0,504
22032,2,200,1:49,10,-1,-1,1186
22032,3,200,1:49,12,-1,-1,1771
22010,1,185,2:08,6,0,0,707
22010,2,185,2:08,9,-1,-1,1061
22010,3,185,2:08,11,-1,-1,1424
22095,1,190,1:56,6,0,0,505
22095,2,190,1:56,10,-1,-1,1031
22095,3,190,1:56,12,-1,-1,1590
22064,1,161,1:51,6,0,0,519
22064,2,161,1:51,9,-1,-1,889
22064,3,161,1:51,11,-1,-1,1265
22088,1,160,1:44,6,0,0,527
22088,2,160,1:44,9,-1,-1,814
22088,3,160,1:44,11,-1,-1,1280
22048,1,175,1:59,5,0,0,453
22048,2,175,1:59,7,0,0,756
22048,3,175,1:59,11,-1,-1,1285
22083,1,153,2:05,6,0,0,602
22083,2,153,2:05,9,-1,-1,1008
22083,3,153,2:05,12,-1,-1,1608
22026,1,166,2:00,2,0,0,240
22026,2,166,2:00,6,0,0,639
22026,3,166,2:00,9,-1,-1,1018
22093,1,140,2:05,6,0,0,644
22093,2,140,2:05,10,-1,-1,1081
22093,3,140,2:05,12,-1,-1,1729
22087,1,182,2:05,6,0,0,649
22087,2,182,2:05,10,-1,-1,1321
22087,3,182,2:05,12,-1,-1,1976
22085,1,160,1:44,5,0,0,495
22085,2,160,1:44,8,-1,-1,882
22085,3,160,1:44,10,-1,-1,1111
22067,1,120,1:47,5,0,0,432
22067,2,120,1:47,8,-1,-1,755
22067,3,120,1:47,11,-1,-1,1154
22024,1,175,2:02,3,0,0,377
22024,2,175,2:02,6,0,0,664
22024,3,175,2:02,9,-1,-1,1021
22103,6,175,2:02,11,-1,-1,1395

21019,1,180,1:57,6,0,0,540
21019,2,180,1:57,10,6,7,972
21019,3,180,1:57,12,7,7,1449
21037,1,165,1:55,5,0,0,330
21037,2,165,1:55,8,2,4,787
21037,3,165,1:55,11,9,9,1631
21046,1,170,1:48,5,0,0,465
21046,2,170,1:48,8,-1,-1,754
21046,3,170,1:48,11,-1,-1,1289
21069,1,178,2:07,6,0,0,602
21069,2,178,2:07,10,-1,-1,1037
21069,3,178,2:07,12,-1,-1,1780
21102,6,178,2:07,12,-1,-1,2198
21023,1,182,1:57,6,0,0,530
21023,2,182,1:57,8,9,9,860
21023,3,182,1:57,11,5,7,1201
21044,1,188,1:59,7,0,0,769
21044,2,188,1:59,10,7,9,1159
21044,3,188,1:59,12,9,11,1727
21063,1,180,2:07,4,0,0,386
21063,2,180,2:07,10,-1,-1,1032
21063,3,180,2:07,11,7,10,1449
21051,1,150,2:00,5,0,0,528
21051,2,150,2:00,8,1,3,773
21051,3,150,2:00,10,-1,-1,1091
21065,1,165,1:59,2,0,0,173
21065,2,165,1:59,6,0,0,723
21065,3,165,1:59,9,3,5,1052
21085,1,190,1:55,4,0,0,416
21085,2,190,1:55,8,3,4,753
21085,3,190,1:55,11,-1,-1,1326
21012,1,188,1:59,5,0,0,578
21012,2,188,1:59,10,-1,-1,1075
21012,3,188,1:59,12,8,8,1739
21100,6,188,1:59,12,-1,-1,1983
21007,1,191,1:54,6,0,0,565
21007,2,191,1:54,8,8,10,946
21007,3,191,1:54,11,10,10,1495
21072,1,202,1:57,5,0,0,450
21072,2,202,1:57,8,8,9,844
21072,3,202,1:57,11,8,9,1416
21005,1,196,2:03,6,0,0,675
21005,2,196,2:03,9,7,9,1077
21005,3,196,2:03,12,6,8,1828
21013,1,175,1:48,5,0,0,489
21013,2,175,1:48,9,6,6,927
